Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts","21","Brazil","511","Total Population - Both sexes","F0001","Total population","2010","2010","1000 persons","195714","X","International reliable sources"
"SCL","Supply Utilization Accounts","21","Brazil","511","Total Population - Both sexes","F0001","Total population","2011","2011","1000 persons","197515","X","International reliable sources"
"SCL","Supply Utilization Accounts","21","Brazil","511","Total Population - Both sexes","F0001","Total population","2012","2012","1000 persons","199287","X","International reliable sources"
"SCL","Supply Utilization Accounts","21","Brazil","511","Total Population - Both sexes","F0001","Total population","2013","2013","1000 persons","201036","X","International reliable sources"
"SCL","Supply Utilization Accounts","21","Brazil","511","Total Population - Both sexes","F0001","Total population","2014","2014","1000 persons","202764","X","International reliable sources"
"SCL","Supply Utilization Accounts","21","Brazil","511","Total Population - Both sexes","F0001","Total population","2015","2015","1000 persons","204472","X","International reliable sources"
"SCL","Supply Utilization Accounts","21","Brazil","511","Total Population - Both sexes","F0001","Total population","2016","2016","1000 persons","206163","X","International reliable sources"
"SCL","Supply Utilization Accounts","21","Brazil","511","Total Population - Both sexes","F0001","Total population","2017","2017","1000 persons","207834","X","International reliable sources"
"SCL","Supply Utilization Accounts","21","Brazil","511","Total Population - Both sexes","F0001","Total population","2018","2018","1000 persons","209469","X","International reliable sources"
"SCL","Supply Utilization Accounts","21","Brazil","511","Total Population - Both sexes","F0001","Total population","2019","2019","1000 persons","211050","X","International reliable sources"
